ID,name,Vermin,stars,votes,safety
107835190,Twenty,V1-,2,2,""
107835219,Father Euc,V1,2,2,""
107497267,Courtyard Squeeze,V1,2,2,""
119595939,"Bernz O' Matic",V0,1.8,5,""
118968017,Naked and Afraid,V2,2,1,""
107566188,Sea Urchin,V2-,2,1,""
111516181,Seams To Me,V6,2,1,""
108706287,Break a Leg,V9,2,1,""
108935754,The Warmup,V2,1.8,5,""
108063568,Edges Of Doom,V4,2,1,""
108002465,"Abe's Oddysee",V6,2,1,PG13
108216715,Escalator to Heaven,V0,2,1,""
108137743,Kingston Lean,V5,2,1,""
107827585,Scatter Gun,V4,2,1,""
107827574,Lieback Frannie,V0,2,1,""
107437010,Let Sleeping Dragons Lie,V5,2,1,""
107497154,Courtyard Slab,V1,2,1,""
107497245,Courtyard Face,V1,2,1,""
107109769,Slab at the End of the Universe,V0-,2,1,X
106622394,Slick Manzanita,V1,2,1,""
108298197,Spontaneous Combustion,V2,1.6,8,""
108298205,Bodily Functions,V2,1.4,9,""
113636879,Dystopia,V9,1.7,3,""
107112717,A Work in Progress,V2,1.7,3,""
116223079,Specks of Grease,V1-,1.5,6,""
107473301,Traditionally Challenged,V0,1.5,2,""
107058333,Easy traverse,V0,1.5,2,""
107835205,Invasion,V1-,1.5,2,""
120118797,Green Bean,V1,1.3,3,""
107109811,Ramps are Rad,V0-,1.3,3,""
107145091,Belief,V0,1,4,""
118981641,Not Every Pony Grows Up to be a Pegasus,V7-,1,2,""
108129862,Fruit Bowl,V2,1,2,""
111675588,Double Dragon,V3,1,1,""
107990570,Pita Chip Stick Clip,V0,1,1,""
107835304,The Oracle,V7,1,1,""
107827622,Myth of Silenus,V3,1,1,""
107438511,Langosta,V3-,1,1,""
107159814,Cashew nut,V0-,1,1,""
107112752,"Awesome, or Hella Stupid?",V0,1,1,""
106622403,Big Slick Manzy,V0,1,1,""
106624233,Contrived Big Slick Manzy Direct,V0,1,1,""
112243032,Piper Bicycle Michaelson,V6,4,1,""
112231390,Extraterrestrial Spectacle,V4,4,1,""
112227001,Prison Break,V5,4,1,""
108960251,Rattled by the Rush,V7-,3.8,4,""
106875946,Sister Sharon,V0,3.6,7,""
107412188,Fight the Devil and Pray,V4,3.5,6,""
108960238,Olsmolke,V5+,3.4,5,""
118890585,Gigawatts,V5-,3.5,2,""
108960291,Brush Me Baby,V5+,3,3,""
108960270,Pipe Dream,V4,2.8,6,""
120328412,Funky & Gunky,V1,3,2,""
120373927,Shoes of the Fisherman,V3,3,1,""
112231281,Silent Love,V3,3,1,""
112231375,Blast Off,V5,3,1,""
